Date,State,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,"Populations (White, Black, LatinX, Asian, AIAN, NHPI, Multiracial)",,,,,,,,,,,
20200607,MT,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200607,NC,585,327,0,13,6,3,0,0,,,,,,,,,,,0
20200607,ND,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200607,NE,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200607,NH,164,6,8,2,0,0,0,0,,,,,,,,,,,0
20200607,NJ,6449,2218,2445,683,0,0,0,0,,,,,,,,,,,0
20200607,NM,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200607,NV,204,55,69,66,3,0,0,0,,,,,,,,,,,0
20200607,NY,7900,5788,6143,1563,0,0,0,0,,,,,,,,,,,0
20200607,OH,1850,418,0,21,0,0,33,0,,,,,,,,,,,0
20200607,OK,269,27,0,2,24,0,0,0,,,,,,,,,,,0
20200607,OR,122,6,0,7,3,2,2,0,,,,,,,,,,,0
20200607,PA,4245,1216,0,142,0,0,0,0,,,,,,,,,,,0
20200607,PR,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200607,RI,507,37,69,0,0,0,0,0,,,,,,,,,,,0
20200607,SC,256,224,0,5,0,0,0,0,,,,,,,,,,,0
20200607,SD,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200607,TN,231,142,0,8,0,0,0,0,,,,,,,,,,,0
20200607,TX,269,85,171,13,0,0,0,0,,,,,,,,,,,0
20200607,UT,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200607,VA,820,300,0,0,0,0,0,0,,,,,,,,,,,0
20200607,VI,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200607,VT,52,0,0,2,0,0,0,0,,,,,,,,,,,0
20200607,WA,778,35,119,105,12,10,15,0,,,,,,,,,,,0
20200607,WI,441,161,0,17,9,0,0,0,,,,,,,,,,,0
20200607,WV,58,3,0,0,0,0,0,0,,,,,,,,,,,0
20200607,WY,8,0,1,0,8,0,0,0,,,,,,,,,,,0
20200610,AK,6,0,0,2,2,1,0,0,,,,,,,,,,,0
20200610,AL,360,333,0,5,0,0,0,0,,,,,,,,,,,0
20200610,AR,96,51,0,1,0,6,0,0,,,,,,,,,,,0
20200610,AS,0,0,0,0,0,0,0,0,,,,,,,,,,,0
20200610,AZ,515,33,195,15,194,0,0,0,,,,,,,,,,,0
20200610,CA,1524,451,1837,684,13,21,31,0,,,,,,,,,,,0
