Data as of,End Week,Sex,Age Group,Total Deaths,COVID-19 Deaths
9/23/2020,3/7/2020,Male,75-84 years,"7,538",3
9/23/2020,3/7/2020,Male,85 years and over,"7,133",3
9/23/2020,3/7/2020,Male,All ages,"31,009",20
9/23/2020,3/14/2020,Male,Under 1 year,207,0
9/23/2020,3/14/2020,Male,1-4 years,45,0
9/23/2020,3/14/2020,Male,5-14 years,67,0
9/23/2020,3/14/2020,Male,15-24 years,455,0
9/23/2020,3/14/2020,Male,25-34 years,831,0
9/23/2020,3/14/2020,Male,35-44 years,"1,112",0
9/23/2020,3/14/2020,Male,45-54 years,"1,979",0
9/23/2020,3/14/2020,Male,55-64 years,"4,530",3
9/23/2020,3/14/2020,Male,65-74 years,"6,761",9
9/23/2020,3/14/2020,Male,75-84 years,"7,348",7
9/23/2020,3/14/2020,Male,85 years and over,"6,992",5
9/23/2020,3/14/2020,Male,All ages,"30,327",24
9/23/2020,3/21/2020,Male,Under 1 year,232,0
9/23/2020,3/21/2020,Male,1-4 years,46,1
9/23/2020,3/21/2020,Male,5-14 years,52,1
9/23/2020,3/21/2020,Male,15-24 years,425,0
9/23/2020,3/21/2020,Male,25-34 years,844,4
9/23/2020,3/21/2020,Male,35-44 years,"1,145",10
9/23/2020,3/21/2020,Male,45-54 years,"1,964",33
9/23/2020,3/21/2020,Male,55-64 years,"4,655",52
9/23/2020,3/21/2020,Male,65-74 years,"6,735",87
9/23/2020,3/21/2020,Male,75-84 years,"7,552",91
9/23/2020,3/21/2020,Male,85 years and over,"6,875",77
9/23/2020,3/21/2020,Male,All ages,"30,525",356
9/23/2020,3/28/2020,Male,Under 1 year,187,1
9/23/2020,3/28/2020,Male,1-4 years,46,0
9/23/2020,3/28/2020,Male,5-14 years,44,1
9/23/2020,3/28/2020,Male,15-24 years,462,5
9/23/2020,3/28/2020,Male,25-34 years,873,24
9/23/2020,3/28/2020,Male,35-44 years,"1,216",78
9/23/2020,3/28/2020,Male,45-54 years,"2,165",175
9/23/2020,3/28/2020,Male,55-64 years,"4,940",307
9/23/2020,3/28/2020,Male,65-74 years,"7,154",457
9/23/2020,3/28/2020,Male,75-84 years,"8,169",494
9/23/2020,3/28/2020,Male,85 years and over,"7,460",368
9/23/2020,3/28/2020,Male,All ages,"32,716","1,910"
9/23/2020,4/4/2020,Male,Under 1 year,188,1
9/23/2020,4/4/2020,Male,1-4 years,27,0
9/23/2020,4/4/2020,Male,5-14 years,57,0
9/23/2020,4/4/2020,Male,15-24 years,443,10
9/23/2020,4/4/2020,Male,25-34 years,955,78
9/23/2020,4/4/2020,Male,35-44 years,"1,317",194
9/23/2020,4/4/2020,Male,45-54 years,"2,623",512
9/23/2020,4/4/2020,Male,55-64 years,"5,961",985
9/23/2020,4/4/2020,Male,65-74 years,"8,484","1,466"
9/23/2020,4/4/2020,Male,75-84 years,"9,396","1,598"
9/23/2020,4/4/2020,Male,85 years and over,"8,723","1,178"
9/23/2020,4/4/2020,Male,All ages,"38,174","6,022"
9/23/2020,4/11/2020,Male,Under 1 year,220,0
9/23/2020,4/11/2020,Male,1-4 years,25,0
9/23/2020,4/11/2020,Male,5-14 years,62,2
9/23/2020,4/11/2020,Male,15-24 years,509,16
9/23/2020,4/11/2020,Male,25-34 years,"1,032",74
9/23/2020,4/11/2020,Male,35-44 years,"1,509",221
9/23/2020,4/11/2020,Male,45-54 years,"2,728",615
9/23/2020,4/11/2020,Male,55-64 years,"6,291","1,449"
9/23/2020,4/11/2020,Male,65-74 years,"9,312","2,269"
9/23/2020,4/11/2020,Male,75-84 years,"10,237","2,528"
9/23/2020,4/11/2020,Male,85 years and over,"9,622","2,032"
9/23/2020,4/11/2020,Male,All ages,"41,547","9,206"
9/23/2020,4/18/2020,Male,Under 1 year,187,0
9/23/2020,4/18/2020,Male,1-4 years,36,0
9/23/2020,4/18/2020,Male,5-14 years,53,0
9/23/2020,4/18/2020,Male,15-24 years,436,12
9/23/2020,4/18/2020,Male,25-34 years,"1,010",93
9/23/2020,4/18/2020,Male,35-44 years,"1,337",195
9/23/2020,4/18/2020,Male,45-54 years,"2,579",546
9/23/2020,4/18/2020,Male,55-64 years,"5,924","1,342"
9/23/2020,4/18/2020,Male,65-74 years,"8,963","2,277"
9/23/2020,4/18/2020,Male,75-84 years,"9,929","2,525"
9/23/2020,4/18/2020,Male,85 years and over,"9,449","2,277"
9/23/2020,4/18/2020,Male,All ages,"39,903","9,267"
9/23/2020,4/25/2020,Male,Under 1 year,211,1
9/23/2020,4/25/2020,Male,1-4 years,39,0
9/23/2020,4/25/2020,Male,5-14 years,65,0
9/23/2020,4/25/2020,Male,15-24 years,515,17
9/23/2020,4/25/2020,Male,25-34 years,"1,003",47
9/23/2020,4/25/2020,Male,35-44 years,"1,398",156
9/23/2020,4/25/2020,Male,45-54 years,"2,445",459
9/23/2020,4/25/2020,Male,55-64 years,"5,804","1,163"
9/23/2020,4/25/2020,Male,65-74 years,"8,366","1,920"
9/23/2020,4/25/2020,Male,75-84 years,"9,440","2,230"
9/23/2020,4/25/2020,Male,85 years and over,"8,823","2,104"
9/23/2020,4/25/2020,Male,All ages,"38,109","8,097"
9/23/2020,5/2/2020,Male,Under 1 year,177,1
9/23/2020,5/2/2020,Male,1-4 years,34,0
9/23/2020,5/2/2020,Male,5-14 years,61,2
9/23/2020,5/2/2020,Male,15-24 years,493,6
9/23/2020,5/2/2020,Male,25-34 years,"1,017",52
9/23/2020,5/2/2020,Male,35-44 years,"1,382",152
9/23/2020,5/2/2020,Male,45-54 years,"2,387",365
9/23/2020,5/2/2020,Male,55-64 years,"5,503",906
9/23/2020,5/2/2020,Male,65-74 years,"7,962","1,648"
9/23/2020,5/2/2020,Male,75-84 years,"8,647","1,862"
9/23/2020,5/2/2020,Male,85 years and over,"8,106","1,774"
9/23/2020,5/2/2020,Male,All ages,"35,769","6,768"
9/23/2020,5/9/2020,Male,Under 1 year,208,1
9/23/2020,5/9/2020,Male,1-4 years,49,0
9/23/2020,5/9/2020,Male,5-14 years,67,3
9/23/2020,5/9/2020,Male,15-24 years,535,13
9/23/2020,5/9/2020,Male,25-34 years,985,36
9/23/2020,5/9/2020,Male,35-44 years,"1,413",117
9/23/2020,5/9/2020,Male,45-54 years,"2,453",334
9/23/2020,5/9/2020,Male,55-64 years,"5,497",833
9/23/2020,5/9/2020,Male,65-74 years,"7,683","1,437"
9/23/2020,5/9/2020,Male,75-84 years,"8,331","1,552"
9/23/2020,5/9/2020,Male,85 years and over,"7,611","1,438"
9/23/2020,5/9/2020,Male,All ages,"34,832","5,764"
9/23/2020,5/16/2020,Male,Under 1 year,218,0
9/23/2020,5/16/2020,Male,1-4 years,48,1
9/23/2020,5/16/2020,Male,5-14 years,57,3
9/23/2020,5/16/2020,Male,15-24 years,486,8
9/23/2020,5/16/2020,Male,25-34 years,"1,046",42
9/23/2020,5/16/2020,Male,35-44 years,"1,384",103
9/23/2020,5/16/2020,Male,45-54 years,"2,383",286
9/23/2020,5/16/2020,Male,55-64 years,"5,072",640
9/23/2020,5/16/2020,Male,65-74 years,"7,201","1,038"
9/23/2020,5/16/2020,Male,75-84 years,"7,879","1,194"
9/23/2020,5/16/2020,Male,85 years and over,"7,383","1,163"
9/23/2020,5/16/2020,Male,All ages,"33,157","4,478"
9/23/2020,5/23/2020,Male,Under 1 year,211,0
9/23/2020,5/23/2020,Male,1-4 years,39,0
9/23/2020,5/23/2020,Male,5-14 years,66,0
9/23/2020,5/23/2020,Male,15-24 years,496,3
9/23/2020,5/23/2020,Male,25-34 years,"1,065",43
9/23/2020,5/23/2020,Male,35-44 years,"1,374",79
9/23/2020,5/23/2020,Male,45-54 years,"2,287",220
9/23/2020,5/23/2020,Male,55-64 years,"5,066",570
9/23/2020,5/23/2020,Male,65-74 years,"6,881",876
9/23/2020,5/23/2020,Male,75-84 years,"7,373",955
9/23/2020,5/23/2020,Male,85 years and over,"6,948",916
9/23/2020,5/23/2020,Male,All ages,"31,806","3,662"
9/23/2020,5/30/2020,Male,Under 1 year,217,0
9/23/2020,5/30/2020,Male,1-4 years,34,0
9/23/2020,5/30/2020,Male,5-14 years,75,0
9/23/2020,5/30/2020,Male,15-24 years,497,6
9/23/2020,5/30/2020,Male,25-34 years,"1,055",28
9/23/2020,5/30/2020,Male,35-44 years,"1,374",69
9/23/2020,5/30/2020,Male,45-54 years,"2,380",203
9/23/2020,5/30/2020,Male,55-64 years,"4,848",478
9/23/2020,5/30/2020,Male,65-74 years,"6,782",740
9/23/2020,5/30/2020,Male,75-84 years,"7,320",827
9/23/2020,5/30/2020,Male,85 years and over,"6,609",767
9/23/2020,5/30/2020,Male,All ages,"31,191","3,118"
9/23/2020,6/6/2020,Male,Under 1 year,211,1
9/23/2020,6/6/2020,Male,1-4 years,42,1
9/23/2020,6/6/2020,Male,5-14 years,84,0
9/23/2020,6/6/2020,Male,15-24 years,554,3
9/23/2020,6/6/2020,Male,25-34 years,"1,112",29
9/23/2020,6/6/2020,Male,35-44 years,"1,334",69
9/23/2020,6/6/2020,Male,45-54 years,"2,355",196
9/23/2020,6/6/2020,Male,55-64 years,"4,906",376
9/23/2020,6/6/2020,Male,65-74 years,"6,753",627
9/23/2020,6/6/2020,Male,75-84 years,"7,092",642
9/23/2020,6/6/2020,Male,85 years and over,"6,450",588
9/23/2020,6/6/2020,Male,All ages,"30,893","2,532"
9/23/2020,6/13/2020,Male,Under 1 year,190,1
9/23/2020,6/13/2020,Male,1-4 years,41,0
9/23/2020,6/13/2020,Male,5-14 years,75,0
9/23/2020,6/13/2020,Male,15-24 years,576,5
9/23/2020,6/13/2020,Male,25-34 years,"1,035",30
9/23/2020,6/13/2020,Male,35-44 years,"1,258",63
9/23/2020,6/13/2020,Male,45-54 years,"2,258",174
9/23/2020,6/13/2020,Male,55-64 years,"4,879",375
9/23/2020,6/13/2020,Male,65-74 years,"6,559",525
9/23/2020,6/13/2020,Male,75-84 years,"7,044",541
9/23/2020,6/13/2020,Male,85 years and over,"6,389",465
9/23/2020,6/13/2020,Male,All ages,"30,304","2,179"
9/23/2020,6/20/2020,Male,Under 1 year,207,0
9/23/2020,6/20/2020,Male,1-4 years,53,1
9/23/2020,6/20/2020,Male,5-14 years,62,0
9/23/2020,6/20/2020,Male,15-24 years,525,4
9/23/2020,6/20/2020,Male,25-34 years,"1,083",15
9/23/2020,6/20/2020,Male,35-44 years,"1,253",62
9/23/2020,6/20/2020,Male,45-54 years,"2,279",155
9/23/2020,6/20/2020,Male,55-64 years,"4,829",343
9/23/2020,6/20/2020,Male,65-74 years,"6,703",471
9/23/2020,6/20/2020,Male,75-84 years,"7,087",486
9/23/2020,6/20/2020,Male,85 years and over,"6,286",426
9/23/2020,6/20/2020,Male,All ages,"30,367","1,963"
9/23/2020,6/27/2020,Male,Under 1 year,186,1
9/23/2020,6/27/2020,Male,1-4 years,33,0
9/23/2020,6/27/2020,Male,5-14 years,56,0
9/23/2020,6/27/2020,Male,15-24 years,602,8
9/23/2020,6/27/2020,Male,25-34 years,"1,092",21
9/23/2020,6/27/2020,Male,35-44 years,"1,329",62
9/23/2020,6/27/2020,Male,45-54 years,"2,258",172
9/23/2020,6/27/2020,Male,55-64 years,"4,747",326
9/23/2020,6/27/2020,Male,65-74 years,"6,549",466
9/23/2020,6/27/2020,Male,75-84 years,"7,126",510
9/23/2020,6/27/2020,Male,85 years and over,"6,527",417
9/23/2020,6/27/2020,Male,All ages,"30,505","1,983"
9/23/2020,7/4/2020,Male,Under 1 year,200,2
9/23/2020,7/4/2020,Male,1-4 years,36,0
9/23/2020,7/4/2020,Male,5-14 years,67,2
9/23/2020,7/4/2020,Male,15-24 years,564,11
9/23/2020,7/4/2020,Male,25-34 years,"1,081",41
9/23/2020,7/4/2020,Male,35-44 years,"1,386",94
9/23/2020,7/4/2020,Male,45-54 years,"2,330",212
9/23/2020,7/4/2020,Male,55-64 years,"5,045",395
9/23/2020,7/4/2020,Male,65-74 years,"6,671",585
9/23/2020,7/4/2020,Male,75-84 years,"7,210",593
9/23/2020,7/4/2020,Male,85 years and over,"6,587",510
9/23/2020,7/4/2020,Male,All ages,"31,177","2,445"
9/23/2020,7/11/2020,Male,Under 1 year,211,2
9/23/2020,7/11/2020,Male,1-4 years,55,1
9/23/2020,7/11/2020,Male,5-14 years,71,1
9/23/2020,7/11/2020,Male,15-24 years,608,11
9/23/2020,7/11/2020,Male,25-34 years,"1,015",52
9/23/2020,7/11/2020,Male,35-44 years,"1,476",128
9/23/2020,7/11/2020,Male,45-54 years,"2,445",237
9/23/2020,7/11/2020,Male,55-64 years,"5,282",524
9/23/2020,7/11/2020,Male,65-74 years,"7,269",791
9/23/2020,7/11/2020,Male,75-84 years,"7,357",785
9/23/2020,7/11/2020,Male,85 years and over,"6,571",632
9/23/2020,7/11/2020,Male,All ages,"32,360","3,164"
9/23/2020,7/18/2020,Male,Under 1 year,164,1
9/23/2020,7/18/2020,Male,1-4 years,39,0
9/23/2020,7/18/2020,Male,5-14 years,72,0
9/23/2020,7/18/2020,Male,15-24 years,578,16
9/23/2020,7/18/2020,Male,25-34 years,"1,118",56
9/23/2020,7/18/2020,Male,35-44 years,"1,463",121
9/23/2020,7/18/2020,Male,45-54 years,"2,322",286
9/23/2020,7/18/2020,Male,55-64 years,"5,193",641
9/23/2020,7/18/2020,Male,65-74 years,"7,200",944
9/23/2020,7/18/2020,Male,75-84 years,"7,694","1,052"
9/23/2020,7/18/2020,Male,85 years and over,"6,979",808
9/23/2020,7/18/2020,Male,All ages,"32,822","3,925"
9/23/2020,7/25/2020,Male,Under 1 year,201,0
9/23/2020,7/25/2020,Male,1-4 years,43,0
9/23/2020,7/25/2020,Male,5-14 years,69,3
9/23/2020,7/25/2020,Male,15-24 years,559,11
9/23/2020,7/25/2020,Male,25-34 years,"1,056",47
9/23/2020,7/25/2020,Male,35-44 years,"1,385",143
9/23/2020,7/25/2020,Male,45-54 years,"2,352",316
9/23/2020,7/25/2020,Male,55-64 years,"5,082",674
9/23/2020,7/25/2020,Male,65-74 years,"7,423","1,130"
9/23/2020,7/25/2020,Male,75-84 years,"7,913","1,201"
9/23/2020,7/25/2020,Male,85 years and over,"6,925",858
9/23/2020,7/25/2020,Male,All ages,"33,008","4,383"
9/23/2020,8/1/2020,Male,Under 1 year,142,0
9/23/2020,8/1/2020,Male,1-4 years,35,0
9/23/2020,8/1/2020,Male,5-14 years,52,3
9/23/2020,8/1/2020,Male,15-24 years,511,12
9/23/2020,8/1/2020,Male,25-34 years,"1,023",38
9/23/2020,8/1/2020,Male,35-44 years,"1,395",127
9/23/2020,8/1/2020,Male,45-54 years,"2,277",312
9/23/2020,8/1/2020,Male,55-64 years,"5,116",727
9/23/2020,8/1/2020,Male,65-74 years,"7,309","1,104"
9/23/2020,8/1/2020,Male,75-84 years,"7,854","1,222"
9/23/2020,8/1/2020,Male,85 years and over,"6,786",923
9/23/2020,8/1/2020,Male,All ages,"32,500","4,468"
9/23/2020,8/8/2020,Male,Under 1 year,176,0
9/23/2020,8/8/2020,Male,1-4 years,45,1
9/23/2020,8/8/2020,Male,5-14 years,52,0
9/23/2020,8/8/2020,Male,15-24 years,506,10
9/23/2020,8/8/2020,Male,25-34 years,973,29
9/23/2020,8/8/2020,Male,35-44 years,"1,309",99
9/23/2020,8/8/2020,Male,45-54 years,"2,283",285
9/23/2020,8/8/2020,Male,55-64 years,"5,057",635
9/23/2020,8/8/2020,Male,65-74 years,"7,256","1,041"
9/23/2020,8/8/2020,Male,75-84 years,"7,858","1,171"
9/23/2020,8/8/2020,Male,85 years and over,"6,704",835
9/23/2020,8/8/2020,Male,All ages,"32,219","4,106"
9/23/2020,8/15/2020,Male,Under 1 year,151,0
9/23/2020,8/15/2020,Male,1-4 years,28,0
9/23/2020,8/15/2020,Male,5-14 years,54,0
9/23/2020,8/15/2020,Male,15-24 years,492,10
9/23/2020,8/15/2020,Male,25-34 years,964,28
9/23/2020,8/15/2020,Male,35-44 years,"1,246",96
9/23/2020,8/15/2020,Male,45-54 years,"2,152",250
9/23/2020,8/15/2020,Male,55-64 years,"4,810",574
9/23/2020,8/15/2020,Male,65-74 years,"7,150",906
9/23/2020,8/15/2020,Male,75-84 years,"7,559","1,033"
9/23/2020,8/15/2020,Male,85 years and over,"6,581",763
9/23/2020,8/15/2020,Male,All ages,"31,187","3,660"
9/23/2020,8/22/2020,Male,Under 1 year,143,0
9/23/2020,8/22/2020,Male,1-4 years,23,1
9/23/2020,8/22/2020,Male,5-14 years,47,0
9/23/2020,8/22/2020,Male,15-24 years,468,9
9/23/2020,8/22/2020,Male,25-34 years,881,24
9/23/2020,8/22/2020,Male,35-44 years,"1,174",69
9/23/2020,8/22/2020,Male,45-54 years,"2,053",213
9/23/2020,8/22/2020,Male,55-64 years,"4,434",460
9/23/2020,8/22/2020,Male,65-74 years,"6,680",781
9/23/2020,8/22/2020,Male,75-84 years,"7,128",795
9/23/2020,8/22/2020,Male,85 years and over,"6,454",636
9/23/2020,8/22/2020,Male,All ages,"29,485","2,988"
9/23/2020,8/29/2020,Male,Under 1 year,127,0
9/23/2020,8/29/2020,Male,1-4 years,24,0
9/23/2020,8/29/2020,Male,5-14 years,48,1
9/23/2020,8/29/2020,Male,15-24 years,458,8
9/23/2020,8/29/2020,Male,25-34 years,838,14
9/23/2020,8/29/2020,Male,35-44 years,"1,100",50
9/23/2020,8/29/2020,Male,45-54 years,"1,795",144
9/23/2020,8/29/2020,Male,55-64 years,"4,110",395
9/23/2020,8/29/2020,Male,65-74 years,"6,020",654
9/23/2020,8/29/2020,Male,75-84 years,"6,617",688
9/23/2020,8/29/2020,Male,85 years and over,"6,164",566
9/23/2020,8/29/2020,Male,All ages,"27,301","2,520"
9/23/2020,9/5/2020,Male,Under 1 year,107,0
9/23/2020,9/5/2020,Male,1-4 years,18,0
9/23/2020,9/5/2020,Male,5-14 years,34,0
9/23/2020,9/5/2020,Male,15-24 years,368,2
9/23/2020,9/5/2020,Male,25-34 years,773,15
9/23/2020,9/5/2020,Male,35-44 years,939,23
9/23/2020,9/5/2020,Male,45-54 years,"1,645",103
9/23/2020,9/5/2020,Male,55-64 years,"3,578",244
9/23/2020,9/5/2020,Male,65-74 years,"5,358",438
9/23/2020,9/5/2020,Male,75-84 years,"5,963",528
9/23/2020,9/5/2020,Male,85 years and over,"5,495",424
9/23/2020,9/5/2020,Male,All ages,"24,278","1,777"
9/23/2020,9/12/2020,Male,Under 1 year,94,0
9/23/2020,9/12/2020,Male,1-4 years,18,0
9/23/2020,9/12/2020,Male,5-14 years,32,0
9/23/2020,9/12/2020,Male,15-24 years,298,2
9/23/2020,9/12/2020,Male,25-34 years,528,8
9/23/2020,9/12/2020,Male,35-44 years,687,14
9/23/2020,9/12/2020,Male,45-54 years,"1,144",47
9/23/2020,9/12/2020,Male,55-64 years,"2,778",127
9/23/2020,9/12/2020,Male,65-74 years,"4,043",227
9/23/2020,9/12/2020,Male,75-84 years,"4,684",246
9/23/2020,9/12/2020,Male,85 years and over,"4,408",196
9/23/2020,9/12/2020,Male,All ages,"18,714",867
9/23/2020,9/19/2020,Male,Under 1 year,19,0
9/23/2020,9/19/2020,Male,1-4 years,5,0
9/23/2020,9/19/2020,Male,5-14 years,9,0
9/23/2020,9/19/2020,Male,15-24 years,89,0
9/23/2020,9/19/2020,Male,25-34 years,182,0
9/23/2020,9/19/2020,Male,35-44 years,228,6
9/23/2020,9/19/2020,Male,45-54 years,395,10
9/23/2020,9/19/2020,Male,55-64 years,"1,052",19
9/23/2020,9/19/2020,Male,65-74 years,"1,671",42
9/23/2020,9/19/2020,Male,75-84 years,"2,039",47
9/23/2020,9/19/2020,Male,85 years and over,"2,098",36
9/23/2020,9/19/2020,Male,All ages,"7,787",160
9/23/2020,,Male,All ages,"1,055,478","101,819"
